PlasticForFormingID,PlasticMaterialID,PlasticColorID,PlasticThicknessID,PlasticWidthID,PlasticStaticChargeID,Silicone,PlasticCompanyID,IDJobNo,PlasticForFormingCombine,PlasticForFormingNotes,MoldID,JobID,MoldDesignID,PlasticWidth2,PlasticThickness2,UpdatedAt,UpdatedBy
210,3,2,9,13,1,シリコン無,,,,,,0,4628,0,,,
211,1,6,18,24,1,シリコン付,,,,,,0,4629,0,,,
212,2,4,18,13,3,,,,,,,0,4627,0,,,
213,3,2,9,13,1,シリコン無,,,,,,0,4630,0,,,
214,2,1,18,1,1,シリコン無,,,,,,0,4635,0,,,
215,2,1,18,1,1,シリコン無,,,,,,0,4634,0,,,
216,1,1,13,5,1,シリコン付,,,,,,0,4633,0,,,
217,1,1,13,5,1,シリコン付,,,,,,0,4636,0,,,
218,3,2,9,13,1,シリコン無,,,,,,0,4640,0,,,
219,3,2,9,13,1,シリコン無,,,,,,0,4641,0,,,
220,1,4,7,16,4,,,,,,,0,4637,0,,,
221,1,6,22,13,1,シリコン無,,,,,,0,4639,0,,,
222,1,4,13,13,3,,,,,,,0,4644,0,,,
223,2,1,13,16,1,シリコン無,,,,,,0,4646,0,,,
224,3,3,18,16,4,,,,,,,0,4645,0,,,
225,2,1,7,5,1,シリコン無,,,,,,0,4650,0,,,
226,3,2,9,13,1,シリコン無,,,,,,0,4654,0,,,
227,3,2,18,24,1,シリコン無,,,,,,0,4653,0,,,
228,3,2,18,13,1,シリコン無,,,,,,0,4652,0,,,
229,3,2,18,26,1,シリコン無,,,,,,0,4658,0,,,
230,3,2,13,13,1,シリコン無,,,,,,0,4662,0,,,
231,3,2,13,13,1,シリコン無,,,,,,0,4667,0,,,
232,3,2,13,13,1,シリコン無,,,,,,0,4663,0,,,
233,3,2,18,13,1,シリコン無,,,,,,0,4668,0,,,
234,3,4,18,24,4,,,,,マルアイB-APET,,0,4675,0,,,
235,3,4,18,24,4,,,,,マルアイ　B-APET,,0,4670,0,,,
236,3,3,7,13,4,,,,,,,0,4676,0,,,
237,3,4,18,16,4,,,,,マルアイ　B-APET,,0,4677,0,,,
238,2,1,4,5,1,シリコン無,,,,,,0,4679,0,,,
239,3,4,11,24,4,,,,,（マルアイ　B-APET）,,0,4681,0,,,
240,3,4,7,24,4,,,,,（マルアイ　B-APET）,,0,4683,0,,,
241,3,4,7,24,4,,,,,（マルアイ　B-APET）,,0,4685,0,,,
242,3,4,7,24,4,,,,,（マルアイ　B-APET）,,0,4684,0,,,
243,3,3,18,16,4,,,,,,,0,4687,0,,,
244,2,1,13,16,1,シリコン無,,,,,,0,4688,0,,,
245,1,1,13,13,1,シリコン無,,,,,,0,4690,0,,,
246,2,1,13,13,1,シリコン無,,,,,,0,4691,0,,,
247,1,1,9,13,1,シリコン無,,,,,,0,4698,0,,,
248,1,1,9,13,1,シリコン無,,,,,,0,4694,0,,,
249,1,1,9,13,1,シリコン無,,,,,,0,4692,0,,,
250,3,2,4,24,1,シリコン付,,,,シリコン塗布,,0,4697,0,,,
251,3,2,9,13,1,シリコン無,,,,,,0,4701,0,,,
252,2,1,7,13,1,シリコン無,,,,,,0,4705,0,,,
253,3,2,18,13,1,シリコン無,,,,,,0,4695,0,,,
254,3,2,18,13,1,シリコン無,,,,,,0,4706,0,,,
255,1,1,18,24,1,シリコン付,,,,耐摩耗,,0,4707,0,,,
256,1,1,18,24,1,シリコン付,,,,耐摩耗,,0,4708,0,,,
257,1,4,7,6,4,,,,,,,0,4713,0,,,
258,1,1,18,24,1,シリコン付,,,,耐摩耗,,0,4712,0,,,
259,3,2,13,13,1,シリコン無,,,,,,0,4715,0,,,
260,3,3,13,13,4,,,,,,,0,4716,0,,,
261,3,2,13,13,1,シリコン無,,,,,,0,4720,0,,,
263,3,7,11,1,4,,,,,（マルアイ　TB-APET),,0,4729,0,,,
264,3,2,18,24,1,シリコン無,,,,,,0,4730,0,,,
265,3,7,7,24,4,（マルアイ　TB-APET）,,,,,,0,4733,0,,,
266,2,4,18,13,3,（ミクロームPP）,,,,,,0,4731,0,,,
267,3,2,18,13,1,シリコン無,,,,①　￥103.6　②＿,,0,4732,0,,,
268,1,6,18,13,1,シリコン付,,,,,,0,4732,0,,,
269,3,2,18,13,1,シリコン無,,,,,,0,4734,0,,,
270,1,6,18,13,1,シリコン付,,,,,,0,4734,0,,,
271,2,1,18,16,1,シリコン無,,,,,,0,4718,0,,,
272,1,4,18,5,3,,,,,,,0,4735,0,,,
273,2,1,13,13,1,シリコン無,,,,,,0,4739,0,,,
274,3,2,13,13,1,シリコン無,,,,,,0,4743,0,,,
275,3,4,11,24,4,（マルアイ　B-APET）,,,,,,0,4755,0,,,
276,3,4,11,24,4,（マルアイ　B-APET）,,,,,,0,4751,0,,,
277,1,4,18,5,3,,,,,,,0,4758,0,,,
278,1,1,9,5,1,シリコン無,,,,,,0,4762,0,,,
279,1,4,18,5,3,,,,,,,0,4759,0,,,
280,1,4,18,5,3,,,,,,,0,4760,0,,,
281,1,4,18,5,3,,,,,,,0,4761,0,,,
282,2,1,13,13,1,シリコン無,,,,,,0,4771,0,,,
283,3,2,18,24,1,シリコン無,,,,,,0,4767,0,,,
284,3,4,11,24,1,シリコン無,,,,,,0,4765,0,,,
285,1,6,13,13,1,シリコン付,,,,,,0,4766,0,,,
286,1,6,13,13,1,シリコン付,,,,,,0,4769,0,,,
287,3,7,7,24,4,（マルアイ　TB-APET）,,,,,,0,4775,0,,,
288,2,1,9,1,1,シリコン無,,,,,,0,4781,0,,,
289,2,1,9,13,1,シリコン無,,,,,,0,4782,0,,,
290,3,7,11,24,4,（マルアイ　TB-APET）,,,,,,0,4783,0,,,
